1,Thu Aug 19 21:54:38 2021,125094,car,2,4856,PC7C042B7,0,1
195.0,Sat Aug  7 21:03:28 2021,6849933.0,CAR,2.0,4466.0,PC6E93A05,PTC,VCB43
196.0,Sun Aug  1 00:29:43 2021,1907386.0,CAR,2.0,4158.0,PCAA68777,PTE,VC965
197.0,Sun Aug  1 01:56:36 2021,5556619.0,TRUCK,4.0,4111.0,PC07F012A,PTP,VC965
198.0,Tue Aug 17 00:22:53 2021,8724319.0,TRUCK,4.0,4591.0,PCC9875AC,PTP,VCB43
199.0,Mon Aug  9 08:24:12 2021,4066334.0,CAR,2.0,4015.0,PC524833E,PTC,VCB43
200.0,Sat Jul 31 19:46:31 2021,1208453.0,CAR,2.0,4420.0,PCFDB2950,PTE,VC965
201.0,Fri Aug  6 18:13:51 2021,8705286.0,TRUCK,4.0,4924.0,PCE3427C5,PTE,VC965
202.0,Thu Aug 12 00:17:15 2021,758555.0,CAR,2.0,4501.0,PC5D41947,PTE,VCB43
203.0,Tue Aug 10 22:07:00 2021,7388283.0,CAR,2.0,4026.0,PC2CE9851,PTP,VC965
204.0,Sun Aug  8 07:16:20 2021,7589773.0,CAR,2.0,4280.0,PC03A5F23,PTE,VC965
205.0,Wed Aug 18 08:29:07 2021,2316095.0,CAR,2.0,4953.0,PC1E2B07E,PTE,VC965
206.0,Tue Aug 10 20:36:42 2021,1847455.0,VAN,2.0,4923.0,PC8A7A22A,PTP,VC965
207.0,Fri Aug 13 05:36:53 2021,7707016.0,CAR,2.0,4283.0,PC953B572,PTE,VCD2F
208.0,Sun Aug  1 04:10:44 2021,2616520.0,TRUCK,4.0,4899.0,PC4967767,PTP,VC965
209.0,Sun Aug 15 11:41:43 2021,8332760.0,TRUCK,4.0,4560.0,PC5030572,PTE,VCB43
210.0,Mon Aug  9 05:19:02 2021,9677148.0,CAR,2.0,4037.0,PC0A50259,PTP,VCB43
211.0,Wed Aug  4 19:23:36 2021,2695699.0,CAR,2.0,4610.0,PCA4D3E9B,PTP,VC965
212.0,Fri Aug 20 04:00:27 2021,1836057.0,CAR,2.0,4775.0,PCA50FB36,PTC,VC965
213.0,Wed Aug 18 09:20:33 2021,7980271.0,TRUCK,4.0,4414.0,PC40BD0F3,PTP,VC965
214.0,Sat Jul 31 01:41:58 2021,9166253.0,CAR,2.0,4915.0,PC86B0D7B,PTP,VCB43
215.0,Mon Aug  2 20:26:27 2021,5966610.0,CAR,2.0,4618.0,PC8F4AF85,PTC,VC965
216.0,Tue Aug 10 14:11:13 2021,8273227.0,CAR,2.0,4909.0,PCDED6F20,PTE,VC965
217.0,Tue Aug 17 11:21:41 2021,4772310.0,CAR,2.0,4497.0,PC76FDDEA,PTP,VC965
218.0,Thu Aug 12 01:18:11 2021,401226.0,CAR,2.0,4401.0,PC0606D6A,PTP,VC965
219.0,Mon Aug  2 22:30:06 2021,5259884.0,VAN,2.0,4284.0,PC0DB49FD,PTC,VC965
220.0,Thu Aug 12 13:20:29 2021,4560546.0,CAR,2.0,4235.0,PCFB11406,PTE,VCD2F
221.0,Fri Aug  6 23:10:56 2021,3679257.0,TRUCK,4.0,4482.0,PCB6A16D7,PTC,VC965
222.0,Sun Aug  8 01:28:48 2021,5001460.0,CAR,2.0,4981.0,PC6B14C5D,PTE,VCB43
223.0,Thu Aug 12 14:26:03 2021,488809.0,CAR,2.0,4175.0,PC08EA270,PTC,VC965
224.0,Sun Aug 15 16:57:15 2021,4435309.0,CAR,2.0,4188.0,PCDB12C82,PTE,VC965
225.0,Fri Aug  6 17:35:18 2021,9206176.0,CAR,2.0,4015.0,PC524833E,PTE,VC965
226.0,Sat Aug  7 03:08:44 2021,5665208.0,TRUCK,4.0,4230.0,PC19CE0DB,PTC,VC965
227.0,Sun Aug  1 05:31:31 2021,3619766.0,CAR,2.0,4686.0,PCD6E5E77,PTP,VCB43
228.0,Wed Aug 18 09:22:29 2021,8195160.0,CAR,2.0,4123.0,PCDE850D8,PTC,VC965
229.0,Wed Aug  4 05:40:04 2021,689804.0,TRUCK,4.0,4283.0,PC953B572,PTE,VC965
230.0,Mon Aug 16 02:36:38 2021,7671204.0,CAR,2.0,4016.0,PCCD7399B,PTC,VCB43
231.0,Fri Aug  6 19:31:40 2021,7549660.0,TRUCK,4.0,4504.0,PC461DCD3,PTC,VC965
232.0,Mon Aug  2 17:00:36 2021,6999001.0,CAR,2.0,4377.0,PC4AC8EAD,PTC,VCB43
233.0,Thu Aug 12 15:17:57 2021,3470780.0,TRUCK,4.0,4971.0,PC0BD172F,PTE,VC965
234.0,Sat Aug  7 15:21:43 2021,3321932.0,CAR,2.0,4031.0,PC0214185,PTC,VCB43
235.0,Mon Aug  9 04:56:23 2021,2993477.0,TRUCK,4.0,4965.0,PCA0BAE0F,PTC,VC965
236.0,Fri Aug 13 09:02:27 2021,7137012.0,CAR,2.0,4350.0,PCEDD7E85,PTE,VCB43
237.0,Mon Aug  2 07:55:35 2021,4425207.0,CAR,2.0,4232.0,PC4156AD5,PTC,VC965
238.0,Sat Aug 14 11:54:16 2021,8906007.0,CAR,2.0,4592.0,PC627AA14,PTP,VC965
239.0,Sat Jul 31 04:23:09 2021,2613132.0,CAR,2.0,4760.0,PC161AC8D,PTE,VC965
240.0,Mon Aug 16 01:53:03 2021,1351738.0,TRUCK,4.0,5002.0,PC585BD38,PTP,VC965
241.0,Sat Aug 14 11:49:22 2021,8845283.0,CAR,2.0,4974.0,PCDEB8E32,PTE,VCB43
